iter	Passed	Remaining
914	55796	5183
915	55853	5121
916	55908	5060
917	55962	4998
918	56018	4937
919	56082	4876
920	56137	4815
921	56195	4754
922	56250	4692
923	56305	4631
924	56361	4569
925	56429	4509
926	56498	4449
927	56568	4388
928	56633	4328
929	56693	4267
930	56753	4206
931	56805	4144
932	56862	4083
933	56921	4022
934	56975	3960
935	57031	3899
936	57097	3839
937	57149	3777
938	57213	3716
939	57288	3656
940	57358	3596
941	57420	3535
942	57483	3474
943	57544	3413
944	57605	3352
945	57660	3291
946	57716	3230
947	57776	3169
948	57834	3108
949	57890	3046
950	57948	2985
951	58004	2924
952	58064	2863
953	58122	2802
954	58182	2741
955	58238	2680
956	58298	2619
957	58357	2558
958	58414	2497
959	58468	2436
960	58529	2375
961	58597	2314
962	58672	2254
963	58742	2193
964	58806	2132
965	58865	2071
966	58925	2010
967	58976	1949
968	59029	1888
969	59093	1827
970	59158	1766
971	59228	1706
972	59287	1645
973	59343	1584
974	59407	1523
975	59470	1462
976	59537	1401
977	59604	1340
978	59661	1279
979	59715	1218
980	59774	1157
981	59831	1096
982	59883	1035
983	59937	974
984	59995	913
985	60054	852
986	60120	791
987	60180	730
988	60237	669
989	60293	609
990	60349	548
991	60406	487
992	60459	426
993	60514	365
994	60570	304
995	60626	243
996	60683	182
997	60737	121
998	60799	60
999	60871	0
